window_start,down_up_byte_ratio,downlink_throughput_bps,psz_mean_down,psz_std_down,psz_p90_down,iat_mean_down,iat_cov_down,burst_cnt,burst_bytes_avg,up_tiny_pkt_rate,label
1755336829,437993,1167981.333,1057.954106,457.5497864,1292,0.007224082,4.924463062,15,29090.86667,0,0
1755336832,577812,1540832,1062.154412,457.3358252,1292,0.004487398,4.76564299,19,30317.68421,0,0
1755336835,269115,717640,791.5147059,575.8667864,1292,0.006573481,6.784486415,11,24026.90909,0,0
1755336838,370170,987120,1060.659026,462.5160802,1292,0.006241434,5.659764415,19,19357.89474,0,0
1755336844,458949,1223864,1019.886667,490.6827516,1292,0.005637545,4.145877513,20,22849.6,0,0
1755336847,324636,865696,847.613577,568.0622985,1292,0.007634872,3.178094635,29,11089.75862,0,0
1755336850,636531,1697416,665.8274059,581.1085069,1292,0.003014459,4.294460583,63,10074.80952,0,0
1755336853,396207,1056552,669.2685811,587.4662243,1292,0.002761489,4.788111406,32,12370.5,0,0
1755336856,483724,1289930.667,694.0086083,574.4021981,1292,0.002157056,4.928358012,34,14218.44118,0,0
1755336859,83700,223200,675,586.1883986,1292,0.004568821,2.20779842,20,4112.4,0,0
1755336862,280472,747925.3333,1038.785185,478.3374043,1292,0.00531377,8.210970017,12,23300.5,0,0
1755336865,686459,1830557.333,1060.987635,456.7623476,1292,0.004511145,5.478815916,24,28424.375,0,0
1755336868,315265,840706.6667,1033.655738,474.068304,1292,0.009701927,7.690570779,10,31412.6,0,0
1755336871,337537,900098.6667,1054.803125,468.480838,1292,0.004885317,5.582370398,12,28064.75,0,0
1755336874,1518,4048,60.72,10.77597327,78,0.003356079,2.403275641,4,379.5,0,0
1755336877,290071,773522.6667,1094.607547,427.7037556,1292,0.009448136,6.467885659,16,17831.5,0,0
1755336880,49876,133002.6667,656.2631579,599.4508094,1292,0.038390452,1.892956157,14,2713.357143,0,0
1755336883,26410,70426.66667,377.2857143,512.9863307,1292,0.037532146,1.549794806,15,1412.533333,0,0
1755336886,69903,186408,720.6494845,580.9649996,1292,0.029992906,3.313100745,13,5060,0,0
1755336889,476315,1270173.333,952.63,524.1109969,1292,0.005896751,3.814891069,29,15948.48276,0,0
1755336892,1425948,3802528,1046.951542,474.2902331,1292,0.002163965,4.777234896,46,30817.15217,0,0
1755336895,417,1112,69.5,1.5,71,0.148254824,0.990088355,0,0,0,0
1755336652,23099,61597.33333,471.4081633,557.1484951,1292,0.056767628,2.563664812,7,3221.714286,0,0
1755336655,20680,55146.66667,328.2539683,431.2504877,1073.6,0.046947514,2.488035525,13,1434.615385,0,0
1755336658,53293,142114.6667,642.0843373,560.0297153,1292,0.027739112,2.981736598,11,4631.818182,0,0
1755336661,179653,479074.6667,787.9517544,576.6514746,1292,0.008393018,2.843871964,18,9759.333333,0,0
1755336664,68805,183480,608.8938053,580.540233,1292,0.019314195,7.155678702,8,8490.375,0,0
1755336667,212871,567656,848.0916335,562.4620851,1292,0.010589336,4.714892504,21,10017.90476,0,0
1755336670,14346,38256,512.3571429,562.1433609,1292,0.086834704,2.6411889,6,2331.333333,0,0
1755336673,103650,276400,893.5344828,551.9519505,1292,0.013941748,3.299564725,11,9292.181818,0,0
1755336676,312627,833672,842.6603774,566.8552519,1292,0.007756281,3.615775011,22,13978.36364,0,0
1755336679,185689,495170.6667,933.1105528,526.8548739,1292,0.014950283,6.999992003,18,10203.33333,0,0
1755336682,92155,245746.6667,822.8125,560.7437588,1292,0.012258586,2.761926385,11,8283.636364,0,0
1755336685,289,770.6666667,289,0,289,0,0,0,0,0,0
1755336688,197489,526637.3333,982.5323383,512.8548525,1292,0.014357005,4.098014306,10,19481.9,0,0
1755336691,112149,299064,824.625,569.8395793,1292,0.014677334,3.155936606,11,9983.454545,0,0
1755336694,240164,640437.3333,941.8196078,534.7251583,1292,0.010403389,3.32857747,15,15855.86667,0,0
1755336697,303755,810013.3333,860.4957507,569.0744193,1292,0.006263222,6.881817226,9,32934.55556,0,0
1755336700,245777,655405.3333,862.3754386,570.2719106,1292,0.010411722,3.325144452,17,14344.82353,0,0
1755336703,449595,1198920,1050.455607,471.5409967,1292,0.006789337,4.063039254,20,22361,0,0
1755336706,192804,514144,841.9388646,567.4650255,1292,0.008612214,4.466912016,13,14550.07692,0,0
1755336712,19535,52093.33333,651.1666667,599.9551141,1292,0.013043724,2.167106767,6,3244.666667,0,0
1755336715,5488,14634.66667,196,344.426231,347,0.096949851,2.305606243,7,735.1428571,0,0
1755336718,20590,54906.66667,332.0967742,447.6800668,1285,0.047296231,1.779021063,12,1452.833333,0,0
1755336721,233238,621968,668.3037249,592.1120901,1292,0.00827221,4.961903822,23,10017.65217,0,0
1755336724,179691,479176,730.4512195,580.6029208,1292,0.010657906,3.016851062,20,8649.5,0,0
1755336727,304196,811189.3333,965.7015873,521.1376077,1292,0.005862036,3.719657406,15,20054,0,0
1755336730,445914,1189104,833.4841121,573.0420604,1292,0.005473594,3.901114779,38,11506.18421,0,0
1755336733,387178,1032474.667,795.026694,578.2407445,1292,0.006086169,3.036555442,35,10892.88571,0,0
1755336736,151044,402784,719.2571429,579.3116939,1292,0.013220378,2.591441261,23,6353.913043,0,0
1755336739,330779,882077.3333,911.2369146,545.9679544,1292,0.007997483,4.254615264,14,23504.14286,0,0
1755336742,361017,962712,878.3868613,555.1744416,1292,0.007254876,2.997972759,28,12739.71429,0,0
